region_id,region_name,latitude,longitude,weight
london,London,51.5072,-0.1276,0.14
south_east,South East,51.4545,-0.9781,0.13
south_west,South West,51.4545,-2.5879,0.08
east_of_england,East of England,52.2405,0.9027,0.09
east_midlands,East Midlands,52.9548,-1.1581,0.07
west_midlands,West Midlands,52.4862,-1.8904,0.09
yorkshire_humber,Yorkshire and Humber,53.8008,-1.5491,0.08
north_west,North West,53.4808,-2.2426,0.11
north_east,North East,54.9783,-1.6178,0.04
wales,Wales,51.4816,-3.1791,0.05
central_scotland,Central Scotland,55.8642,-4.2518,0.08
northern_scotland,Northern Scotland,57.1497,-2.0943,0.04
